,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,W,L,T,RC,YC,Clears,Att,Clear Pct,OTG,Opp_G,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_Man-Down G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Pen Time,Opp_G Min,Opp_Goals Allowed,Opp_Saves,Opp_W,Opp_L,Opp_T,Opp_RC,Opp_YC,Opp_Clears,Opp_Att,Opp_Clear Pct,Opp_OTG,Year
107,02/10/2019,Bucknell,Bryant,9-6,1,9,6,15,45,25,,,35,15,12,13,19,4,150,60:00,6,13,,,,,,20,22,0.909,,1,6,2,8,27,19,1,,32,27,4,6,19,3,120,60:00,9,16,,,,,,20,26,0.769,,2019
108,02/16/2019,Bucknell,Richmond,11-13,1,11,5,16,34,20,1,,35,18,10,16,28,2,60,60:00,13,14,,,,,,14,16,0.875,,1,13,7,20,37,27,1,,32,15,7,12,28,3,120,60:00,11,9,,,,,,18,21,0.857,,2019
109,02/23/2019,Bucknell,@ Ohio St.,13-16,1,13,6,19,33,24,3,,35,14,9,10,31,4,180,60:00,16,9,,,,,,17,20,0.850,,1,16,9,25,35,25,1,,41,19,8,21,31,5,300,60:00,13,11,,,,,,12,15,0.800,,2019
110,03/02/2019,Bucknell,@ Navy,8-14,1,8,6,14,38,17,3,,31,18,6,14,25,3,90,60:00,14,13,,,,,,14,14,1.000/,,1,14,12,26,47,27,,,39,21,6,11,25,5,240,60:00,8,9,,,,,,18,25,0.720,,2019
111,03/09/2019,Bucknell,Holy Cross,10-7,1,10,8,18,35,23,1,,41,19,19,11,21,3,120,60:00,7,7,,,,,,21,24,0.875,,1,7,6,13,29,14,,,29,22,12,10,21,2,60,60:00,10,13,,,,,,17,28,0.607,,2019
112,03/12/2019,Bucknell,@ North Carolina,7-12,1,7,2,9,27,16,1,,26,21,11,12,22,3,180,60:00,12,14,,,,,,15,22,0.682,,1,12,9,21,41,26,2,,33,13,12,10,22,4,210,60:00,7,9,,,,,,16,19,0.842,,2019
113,03/16/2019,Bucknell,@ Boston U.,9-13,1,9,7,16,36,20,,,28,20,8,7,26,,,60:00,13,12,,,,,,17,23,0.739,,1,13,7,20,46,25,,2/,38,15,13,19,26,7,450,60:00,9,11,,,,,,18,24,0.750,,2019
114,03/23/2019,Bucknell,Loyola Maryland,7-12,1,7,2,9,43,22,,,25,13,7,6,23,5,180,60:00,12,20,,,,,,18,24,0.750,,1,12,10,22,40,32,2,,35,14,6,17,23,4,180,60:00,7,15,,,,,,13,18,0.722,,2019
115,03/30/2019,Bucknell,Army West Point,13-15,1,13,8,21,40,23,3,,40,18,12,20,31,1,60,60:00,15,13,,,,,,15,17,0.882,,1,15,9,24,38,28,,,37,19,13,11,31,4,240,60:00,13,10,,,,,,19,25,0.760,,2019
116,04/02/2019,Bucknell,@ Marist,10-7,1,10,3,13,48,28,2,,31,14,9,9,20,5,210,60:00,7,8,,,,,,19,20,0.950,,1,7,4,11,32,15,1,,27,20,9,11,20,5,210,60:00,10,18,,,,,,10,15,0.667,,2019
117,04/13/2019,Bucknell,@ Lafayette,17-4,1,17,15,32,44,34,1,,43,13,14,13,24,7,270,60:00,4,11,,,,,,22,25,0.880,,1,4,4,8,31,15,1,,21,23,5,11,24,4,210,60:00,17,17,,,,,,16,23,0.696,,2019
