,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT,Distance Traveled
36,02232019,bellarmine, robert morris,7-15,1,7,5,12,32,13,1,31,28,6,12,26,4,15,21,0,1,0.789,15,9,24,64,36,1,32,15,19,14,26,2,6,0.688,2019,0.0,1.0,Robert Morris,0.0,334.2528928505892
37,03022019,bellarmine,detroit mercy,14-15,1,14,9,23,34,23,0,21,20,7,6,33,1,15,20,0,1,0.844,15,9,24,51,35,0,45,16,9,27,33,0,9,0.870,2019,1.0,0.0,Bellarmine,0.0,0.0
38,03092019,bellarmine, utah,9-10,1,9,2,11,38,21,0,31,12,7,12,23,4,10,12,0,1,0.842,10,8,18,35,22,1,20,19,2,11,23,1,12,0.789,2019,0.0,1.0,Utah,0.0,1406.6127326006126
39,03162019,bellarmine,jacksonville,8-11,1,8,5,13,40,19,2,30,23,11,15,22,9,11,11,0,1,0.737,11,6,17,34,22,2,26,17,12,7,22,6,11,1.000,2019,1.0,0.0,Bellarmine,0.0,0.0
40,03232019,bellarmine,richmond,9-16,1,9,7,16,39,19,0,22,12,9,11,29,2,16,10,0,1,0.947,16,8,24,40,26,0,35,14,5,18,29,3,10,0.895,2019,1.0,0.0,Bellarmine,0.0,0.0
41,03302019,bellarmine, mercer,16-13,1,16,13,29,44,31,1,25,13,5,16,33,4,13,13,1,0,0.905,13,7,20,46,26,1,28,15,5,17,33,7,15,0.944,2019,0.0,1.0,Mercer,0.0,389.0068330296719
42,04062019,bellarmine,vmi,13-12,1,13,8,21,43,25,1,34,19,5,15,29,1,12,13,1,0,0.84,12,5,17,43,25,1,32,17,12,14,29,1,12,0.857,2019,1.0,0.0,Bellarmine,0.0,0.0
43,04132019,bellarmine, furman,15-12,1,15,9,24,46,25,1,35,17,3,16,31,5,12,12,1,0,0.905,12,6,18,38,24,2,34,14,10,15,31,2,10,0.810,2019,0.0,1.0,Furman,0.0,290.7782381506234
44,04202019,bellarmine,high point,15-16,1,15,5,20,44,29,0,24,15,8,16,35,2,16,13,0,1,0.8,16,9,25,56,29,0,30,13,7,19,35,2,14,0.944,2019,1.0,0.0,Bellarmine,0.0,0.0
45,04272019,bellarmine, air force,6-13,1,6,6,12,21,12,0,20,18,5,5,23,1,13,12,0,1,0.765,13,6,19,58,25,1,36,17,7,18,23,0,6,0.917,2019,0.0,1.0,Air Force,0.0,1037.5424256388396
