,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT
44,02252018,binghamton, marist,7-8,1,7,5,12,31,17,1,18,7,2,9,19,2,8,10,0,1,1.0,8,4,12,38,18,1,21,10,4,10,19,2,10,0.800,2018,0.0,1.0,Marist,0.0
45,03032018,binghamton, hobart,6-17,1,6,3,9,26,13,0,20,16,6,11,27,2,17,14,0,1,0.667,17,5,22,44,31,1,29,11,10,16,27,0,7,0.870,2018,0.0,1.0,Hobart,0.0
46,03062018,binghamton, cornell,2-18,1,2,0,2,26,12,0,22,16,5,12,24,3,18,7,0,1,0.733,18,14,32,35,25,1,28,9,8,12,24,5,10,0.955,2018,0.0,1.0,Cornell,0.0
47,03102018,binghamton,delaware,8-7 ,1,8,4,12,43,20,0,23,12,9,6,20,3,7,14,1,0,1.0,7,3,10,38,21,0,24,12,9,14,20,3,12,0.846,2018,1.0,0.0,Binghamton,1.0
48,03172018,binghamton,umass lowell,10-14,1,10,4,14,48,31,1,27,13,10,16,28,2,14,14,0,1,0.846,14,7,21,34,28,1,29,14,10,12,28,3,21,0.938,2018,1.0,0.0,Binghamton,0.0
49,03242018,binghamton, vermont,6-10,1,6,6,12,33,24,1,20,14,11,6,19,3,10,7,0,1,0.722,10,5,15,32,17,0,33,16,12,13,19,7,18,0.824,2018,0.0,1.0,Vermont,0.0
50,03272018,binghamton,siena,13-11,1,13,6,19,46,30,0,33,15,8,15,28,3,11,10,1,0,0.944,11,3,14,29,21,0,22,13,10,13,28,5,17,0.938,2018,1.0,0.0,Binghamton,0.0
51,03312018,binghamton, lafayette,15-6,1,15,4,19,47,25,1,32,10,11,8,25,4,6,14,1,0,0.773,6,2,8,32,20,0,33,21,3,17,25,2,10,0.824,2018,0.0,1.0,Lafayette,0.0
52,04072018,binghamton, hartford,14-10,1,14,6,20,42,27,2,31,10,4,10,28,4,10,12,1,0,1.0,10,5,15,36,22,1,31,15,4,18,28,6,13,0.941,2018,0.0,1.0,Hartford,0.0
53,04142018,binghamton,umbc,2-5,1,2,2,4,23,10,0,19,11,5,7,11,2,5,11,0,1,1.0,5,3,8,35,16,0,12,10,7,4,11,0,8,1.000,2018,1.0,0.0,Binghamton,0.0
54,04202018,binghamton, ualbany,7-18,1,7,2,9,20,11,0,16,18,4,7,28,5,18,17,0,1,0.688,18,13,31,50,35,2,35,10,10,21,28,3,4,0.947,2018,0.0,1.0,UAlbany,0.0
55,04272018,binghamton,stony brook,9-15,1,9,4,13,28,20,1,23,12,8,18,28,3,15,12,0,1,0.9,15,8,23,43,27,0,22,12,6,10,28,1,11,0.933,2018,1.0,0.0,Binghamton,0.0
56,02032018,boston u,providence,12-11 ,1,12,10,22,34,18,2,25,16,6,12,26,1,11,12,1,0,0.905,11,6,17,40,23,0,33,15,9,14,26,3,6,0.826,2018,1.0,0.0,Boston U,1.0
57,02102018,boston u, ohio st,9-15,1,9,4,13,36,24,2,36,11,4,11,27,2,15,13,0,1,0.812,15,9,24,34,28,0,42,11,10,16,27,3,15,0.882,2018,0.0,1.0,Ohio St,0.0
58,02202018,boston u,dartmouth,10-4,1,10,7,17,42,21,0,25,13,6,12,18,3,4,13,1,0,0.812,4,1,5,25,17,0,17,13,4,6,18,2,11,0.667,2018,1.0,0.0,Boston U,0.0
59,02242018,boston u,navy,8-10,1,8,4,12,29,16,1,31,11,11,8,22,1,10,12,0,1,0.85,10,4,14,43,22,0,32,13,6,14,22,1,8,0.895,2018,1.0,0.0,Boston U,0.0
60,02272018,boston u, bryant,8-7 ,1,8,7,15,29,13,0,26,13,9,4,19,1,7,13,1,0,0.737,7,4,11,35,20,0,28,17,8,15,19,2,5,0.625,2018,0.0,1.0,Bryant,1.0
61,03032018,boston u, air force,15-9,1,15,11,26,43,25,5,29,8,3,12,28,3,9,11,1,0,0.857,9,4,13,28,20,1,18,13,3,16,28,6,10,0.692,2018,0.0,1.0,Air Force,0.0
62,03102018,boston u,colgate,9-16,1,9,6,15,34,17,2,20,12,9,8,28,7,16,8,0,1,0.929,16,12,28,43,24,3,30,15,5,20,28,4,8,0.889,2018,1.0,0.0,Boston U,0.0
63,03172018,boston u, bucknell,9-16,1,9,8,17,24,17,0,31,19,9,17,29,4,16,10,0,1,0.8,16,11,27,39,26,1,37,14,13,12,29,1,8,0.944,2018,0.0,1.0,Bucknell,0.0
64,03202018,boston u, harvard,18-19 ,1,18,13,31,40,26,2,34,8,3,19,40,5,19,14,0,1,0.938,19,16,35,47,33,4,34,6,4,21,40,2,8,1.000,2018,0.0,1.0,Harvard,1.0
65,03242018,boston u, lafayette,12-8,1,12,6,18,39,26,1,36,18,7,14,23,4,8,13,1,0,0.875,8,6,14,43,21,1,32,17,9,9,23,3,14,0.800,2018,0.0,1.0,Lafayette,0.0
66,03312018,boston u,lehigh,6-7,1,6,5,11,29,19,1,23,12,11,9,17,1,7,10,0,1,0.842,7,4,11,30,17,1,29,15,7,8,17,2,13,0.850,2018,1.0,0.0,Boston U,0.0
